,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,47.049,45.946,45.783,44.764,43.374,43.227,41.603,39.871,38.732,37.865,35.979,35.891,36.102,35.924,36.008,35.95,36.006,36.008,35.897,36.028,36.084,35.856,36.006,36.008,35.93,35.957,36.19,35.967,36.059,36.103,36.02,35.966,35.991,36.146,35.922,35.961,35.861,36.274,35.914,35.876,36.083,35.985,36.104,36.002,35.954,35.947,36.079,35.969,36.065,36.062
1,47.402,45.844,45.977,46.298,44.561,43.558,42.143,42.212,39.822,39.023,37.524,36.909,37.012,37.09,37.096,36.795,36.887,36.848,36.935,36.904,36.919,37.04,36.968,37.096,36.993,36.965,37.042,37.04,36.795,37.031,37.066,36.935,36.837,36.952,36.964,37.116,36.853,37.054,37.01,37.006,36.995,37.047,37.032,36.928,37.187,37.062,36.979,37.002,36.988,37.023
2,47.003,47.86,46.178,44.889,44.718,44.524,43.562,42.29,40.857,40.545,39.692,38.6,37.855,37.743,38.052,37.898,38.053,37.959,38.111,37.97,37.948,37.803,37.9,37.947,38.138,37.973,38.187,38.0,37.997,37.858,37.902,37.966,37.958,37.985,38.035,38.029,37.756,37.988,37.932,38.171,37.999,38.011,37.94,37.958,38.005,37.963,37.897,37.998,37.884,37.856
3,47.482,47.305,46.942,46.333,45.491,45.205,44.007,43.036,42.36,39.92,39.39,38.547,39.617,38.94,39.083,38.981,39.125,38.977,39.192,38.916,39.116,39.018,39.007,38.958,39.23,39.215,38.804,39.021,39.058,39.003,38.92,38.976,38.88,39.08,38.996,39.122,38.815,39.067,38.805,38.935,38.963,38.971,38.982,38.929,38.791,38.969,39.176,38.811,38.964,38.906
4,46.2,46.071,45.759,45.436,44.272,45.171,43.975,43.081,42.457,40.99,40.09,39.829,39.798,39.606,39.879,40.128,39.963,40.057,40.052,40.072,39.927,39.959,40.086,39.93,40.221,40.045,40.099,39.973,39.94,40.015,39.985,40.141,39.965,40.087,40.06,40.002,39.827,40.035,39.927,39.949,39.828,40.071,40.165,39.775,40.146,40.034,39.999,40.071,39.952,39.919
5,46.141,45.884,45.5,45.195,45.725,44.175,44.451,42.923,41.83,40.712,39.719,39.065,39.677,39.234,40.184,40.902,40.81,40.842,40.787,40.905,41.242,41.039,40.877,40.801,40.963,41.165,40.886,40.947,41.098,40.825,41.103,41.136,40.994,40.923,40.904,40.781,41.155,40.958,41.021,41.002,40.989,41.097,41.073,41.087,41.138,41.055,40.979,40.909,41.028,41.046
6,44.846,44.815,43.781,45.374,43.213,44.002,42.333,42.44,41.904,40.297,40.263,40.515,39.542,38.549,39.655,40.389,42.051,41.905,42.078,42.109,41.795,41.999,42.181,42.044,41.994,42.141,41.84,41.967,42.015,41.984,41.91,42.173,41.982,41.741,42.018,41.8,42.055,41.876,41.927,42.104,42.011,41.726,42.156,42.171,41.968,41.889,41.954,41.79,42.12,41.984
7,44.612,42.823,43.659,41.683,42.698,42.571,42.163,41.688,40.181,39.532,39.619,39.924,38.019,38.641,38.54,40.041,40.808,43.111,43.013,43.048,42.836,43.066,43.003,43.076,43.112,43.019,42.942,43.068,43.104,42.959,42.866,42.787,42.92,43.036,43.021,42.874,42.796,43.15,43.032,42.979,42.892,42.878,43.132,42.973,42.921,43.11,42.955,42.982,42.869,43.082
8,42.848,42.95,41.743,42.943,42.073,41.57,40.832,41.581,39.185,39.315,37.527,38.4,37.065,37.62,38.114,37.879,39.567,41.582,44.03,43.843,43.934,44.049,43.973,43.944,44.12,44.109,44.178,44.228,43.748,43.941,43.947,44.053,43.909,43.823,43.923,44.104,43.986,44.159,44.111,44.048,43.964,43.884,43.701,43.864,43.908,43.991,43.964,43.833,44.081,44.087
9,42.612,42.427,41.536,39.96,41.48,38.922,40.023,38.056,38.799,38.227,37.295,36.292,35.913,35.054,36.116,35.914,37.783,39.147,42.37,45.105,45.073,45.008,44.84,45.067,44.98,44.894,45.032,44.997,45.04,44.919,45.03,44.898,44.94,44.928,45.102,45.003,44.935,45.16,44.931,45.052,44.969,45.023,44.98,45.005,45.091,45.046,44.982,45.066,44.931,44.951
10,41.597,40.671,39.907,39.247,38.58,37.032,36.962,37.452,38.456,36.878,36.389,35.349,34.911,34.849,34.883,35.478,36.42,38.187,40.345,42.698,45.794,46.119,45.691,46.006,45.921,45.89,45.941,45.889,45.997,45.929,46.322,45.959,46.03,46.235,46.031,45.97,45.975,46.064,45.993,45.977,46.201,46.091,46.046,46.022,45.96,46.018,46.153,45.894,45.934,46.045
11,40.914,39.366,38.784,38.461,39.055,37.736,37.291,35.873,36.06,35.167,36.125,35.177,35.1,34.207,34.823,34.868,35.077,36.469,38.302,40.63,43.557,46.84,47.058,46.86,46.91,46.996,46.89,46.969,46.884,47.077,46.898,46.996,47.082,47.113,46.913,46.952,47.013,46.931,47.017,47.143,46.932,46.929,46.932,47.206,47.046,46.952,46.892,46.915,47.058,46.934
12,40.399,40.455,39.659,37.447,37.089,36.085,36.826,34.589,35.914,34.368,34.607,33.8,33.488,34.632,32.886,34.214,33.988,35.198,36.488,38.246,41.801,44.178,48.047,48.198,47.898,48.219,48.083,47.979,47.943,47.827,47.998,48.038,47.988,48.031,47.888,48.156,47.928,47.965,47.958,48.03,47.927,48.01,47.884,47.946,47.932,48.066,47.969,48.015,48.078,47.941
13,39.548,38.903,38.218,37.7,36.504,36.631,35.364,34.251,34.545,33.735,32.433,32.603,32.535,32.517,32.409,32.36,33.517,34.395,36.061,38.268,39.711,42.717,45.626,48.876,48.794,48.787,48.982,48.732,48.787,48.983,48.979,48.991,49.046,48.835,48.943,49.1,49.105,48.801,48.811,49.022,49.168,49.026,49.069,49.23,48.885,49.208,49.109,49.247,48.978,48.949
14,39.704,38.109,38.57,37.188,36.596,35.907,35.552,34.33,33.629,33.704,33.098,32.454,32.394,32.895,31.573,31.82,32.365,33.862,35.415,37.004,38.645,40.941,43.348,46.801,49.983,50.076,50.075,50.105,49.988,50.017,50.171,49.834,49.985,49.981,49.915,49.906,50.096,50.026,50.037,50.103,50.037,49.988,50.072,50.062,49.98,49.982,49.809,50.013,50.112,49.792
